,學院,semester,average
0,地球科學學院,1021,78.01196428571428
1,地球科學學院,1022,76.63589285714285
2,地球科學學院,1031,76.06464285714286
3,地球科學學院,1032,78.43124999999999
4,地球科學學院,1041,78.93642857142856
5,地球科學學院,1042,80.07910714285715
6,地球科學學院,1051,83.44232142857143
7,地球科學學院,1052,81.31839285714285
8,客家學院,1021,81.21705882352941
9,客家學院,1022,82.30470588235295
10,客家學院,1031,84.8594117647059
11,客家學院,1032,81.81882352941177
12,客家學院,1041,83.42294117647059
13,客家學院,1042,83.34176470588235
14,客家學院,1051,85.57529411764706
15,客家學院,1052,85.31529411764706
16,工學院,1021,74.1661111111111
17,工學院,1022,74.06866666666667
18,工學院,1031,70.98377777777777
19,工學院,1032,72.00399999999999
20,工學院,1041,74.75200000000001
21,工學院,1042,75.30133333333333
22,工學院,1051,78.00644444444444
23,工學院,1052,79.64244444444444
24,文學院,1021,81.75444444444445
25,文學院,1022,80.41060606060606
26,文學院,1031,80.46525252525252
27,文學院,1032,80.2440404040404
28,文學院,1041,82.19353535353535
29,文學院,1042,82.11636363636364
30,文學院,1051,83.87050505050506
31,文學院,1052,84.79686868686868
32,理學院,1021,74.24513513513513
33,理學院,1022,73.4190990990991
34,理學院,1031,71.22765765765766
35,理學院,1032,73.70648648648648
36,理學院,1041,75.33117117117118
37,理學院,1042,74.72468468468469
38,理學院,1051,78.08333333333333
39,理學院,1052,76.63486486486485
40,生醫理工學院,1021,71.82000000000001
41,生醫理工學院,1022,74.5525
42,生醫理工學院,1031,71.20583333333333
43,生醫理工學院,1032,65.62166666666667
44,生醫理工學院,1041,77.95833333333333
45,生醫理工學院,1042,81.51333333333334
46,生醫理工學院,1051,82.50583333333334
47,生醫理工學院,1052,80.39166666666667
48,管理學院,1021,78.8516935483871
49,管理學院,1022,75.56991935483872
50,管理學院,1031,74.23129032258065
51,管理學院,1032,76.00669354838709
52,管理學院,1041,77.5775
53,管理學院,1042,79.7750806451613
54,管理學院,1051,81.39032258064516
55,管理學院,1052,79.54459677419355
56,資訊電機學院,1021,75.13343137254901
57,資訊電機學院,1022,74.1622549019608
58,資訊電機學院,1031,73.0756862745098
59,資訊電機學院,1032,76.74607843137255
60,資訊電機學院,1041,80.28421568627451
61,資訊電機學院,1042,82.1385294117647
62,資訊電機學院,1051,80.14921568627452
63,資訊電機學院,1052,78.53578431372549
